stimulus_id,dynamics_rms_Mean,fluctuation_peak_PeakPosMean,fluctuation_peak_PeakMagMean,fluctuation_centroid_Mean,rhythm_tempo_Mean,rhythm_attack_time_Mean,rhythm_attack_slope_Mean,spectral_centroid_Mean,spectral_brightness_Mean,spectral_spread_Mean,spectral_skewness_Mean,spectral_kurtosis_Mean,spectral_rolloff95_Mean,spectral_rolloff85_Mean,spectral_spectentropy_Mean,spectral_flatness_Mean,spectral_roughness_Mean,spectral_irregularity_Mean,spectral_mfcc_Mean_1,spectral_mfcc_Mean_2,spectral_mfcc_Mean_3,spectral_mfcc_Mean_4,spectral_mfcc_Mean_5,spectral_mfcc_Mean_6,spectral_mfcc_Mean_7,spectral_mfcc_Mean_8,spectral_mfcc_Mean_9,spectral_mfcc_Mean_10,spectral_mfcc_Mean_11,spectral_mfcc_Mean_12,spectral_mfcc_Mean_13,timbre_zerocross_Mean,timbre_lowenergy_Mean,timbre_spectralflux_Mean,tonal_chromagram_peak_PeakPosMean,tonal_chromagram_peak_PeakMagMean,tonal_chromagram_centroid_Mean,tonal_keyclarity_Mean,tonal_mode_Mean,tonal_hcdf_Mean,target
-BaTPbE0Gdo,0.909838,3.718251,2014.026353,4.039156,132.760827,0.080213,4.198871,3031.754906,0.47685,3418.959518,1.930897,7.699129,10406.923112,6215.571882,0.770376,0.120883,17295.210748,0.838224,2.115753,-0.031754,0.406925,0.124125,0.129041,0.050491,0.131083,0.142592,0.03891,-0.003063,0.079393,-0.038167,-0.081763,1457.503234,0.547219,800.469755,61.082086,1.0,66.676042,0.528016,-0.022833,0.142065,girls
-KKsNKY4V8k,0.901218,4.93965,2745.439765,4.209581,129.743741,0.072482,4.118799,4681.256836,0.638021,4252.853317,0.898807,3.158889,13081.392289,9795.909942,0.849801,0.168676,47485.396136,0.599078,1.358435,0.327928,0.349553,-0.113292,0.129123,0.022874,0.008477,0.079768,0.017453,-0.035517,-0.047496,-0.035666,-0.083736,3025.553663,0.496593,819.363438,60.558755,1.0,67.392444,0.573589,-0.018371,0.147259,girls
-Mqc2csT3ZM,0.876307,5.601453,1899.855966,4.18796,137.249522,0.09811,2.855244,4335.394428,0.587888,3956.106546,1.110688,4.334926,12139.321199,8884.884218,0.799467,0.138393,13826.861416,0.763524,1.678965,-0.082111,0.584434,-0.011965,0.45015,0.079712,0.276403,0.022839,-0.001279,0.023485,-0.102238,-0.06449,-0.087654,2454.623016,0.522817,886.280864,62.476795,1.0,68.114295,0.45409,-0.01652,0.16861,mixed
-NEHGAMiA2I,0.94418,3.941158,1909.809917,4.141802,133.953191,0.073168,5.176513,2946.101667,0.420684,3485.364787,2.033173,8.725104,10325.865975,6097.003053,0.74779,0.125183,19486.944504,0.769338,2.311429,0.227889,0.913889,-0.066453,0.314468,0.27198,0.255806,0.153728,0.033439,0.00014,0.081611,0.008533,0.057064,1300.155239,0.477361,840.137178,55.67594,1.0,62.832144,0.505014,-0.010642,0.150269,girls
-SEKfzdaIK0,0.940624,1.573963,1861.287911,3.96861,111.410424,0.071111,5.696709,2920.217542,0.557134,2801.004215,1.319687,6.361059,8171.2382,6024.169922,0.793947,0.068644,43779.843502,0.483042,1.176464,0.281577,0.716397,0.000849,0.267452,0.169697,0.161385,0.047657,0.118939,0.11688,0.052622,-0.021921,0.008083,1667.65544,0.510363,813.293783,50.639463,1.0,62.597876,0.523762,0.010502,0.153793,boys
-a9Jmy2fs3I,0.92101,5.679826,2540.248455,4.092554,146.666397,0.074605,4.604354,2543.26252,0.405455,3158.043578,2.200353,9.359405,9559.83758,5068.727999,0.743702,0.093857,30141.782705,0.617544,2.321678,0.065723,0.610107,-0.006155,0.245256,0.07376,0.228629,0.19306,0.014913,0.093321,0.034755,-0.017676,0.043031,1205.315871,0.454545,762.431296,57.237469,1.0,65.137403,0.600659,0.023122,0.144059,mixed
-o98tc5dDUI,0.923111,4.052299,2121.014102,4.998523,142.773498,0.083835,4.514347,3322.055816,0.503348,3574.950956,1.75267,6.726904,10955.830471,6807.413939,0.789578,0.135052,22715.270788,0.816809,2.006989,0.106839,0.509113,-0.006773,0.178719,0.224501,0.064748,-0.037143,-0.04156,0.010384,0.022867,0.120668,-0.039872,1664.920635,0.452381,934.747578,61.080828,1.0,65.931542,0.446349,-0.019707,0.164019,mixed
-vSutSWNgLU,0.962739,4.134404,2436.201007,4.334284,128.207431,0.070909,5.606792,3199.00338,0.519526,3313.665581,1.691581,6.664359,10046.952536,6498.789234,0.797146,0.123563,33584.114693,0.81523,1.729152,-0.090208,0.470457,0.178855,-0.049707,0.188484,0.014617,-0.019646,0.033984,0.164694,0.103955,0.085791,0.069937,1651.494253,0.433498,980.41484,61.209257,1.0,66.428383,0.415472,-0.009861,0.163185,mixed
AB8ud4ogIvo,0.961906,2.772484,1833.2267,3.983895,137.345742,0.067378,3.729681,3726.463402,0.627104,3690.787552,1.407698,5.125376,11501.179916,7548.438764,0.81079,0.138089,29141.786206,0.748334,0.881915,-0.295658,0.640188,-0.222428,0.270618,-0.06179,0.054199,-0.000438,-0.161952,-0.066154,0.018631,0.065262,0.068182,1831.824212,0.427861,846.154478,59.444993,1.0,68.484349,0.466772,-0.022196,0.158063,girls
AJKBKR6MPO0,0.919346,3.798931,1977.993749,4.093938,111.229475,0.071569,5.161719,3938.78868,0.518731,3920.094118,1.337058,5.506787,11718.792419,8353.47662,0.783099,0.14995,22275.06151,0.753917,1.830102,0.415877,0.609978,0.184257,0.143669,0.187399,0.122312,0.194199,0.052413,0.073542,0.143814,0.115872,-0.071651,1878.499353,0.523933,870.276283,59.989186,1.0,64.485493,0.466915,-0.018851,0.155639,mixed
AYI3Gau3mWo,0.85817,4.003087,2088.765595,4.003056,121.871952,0.091364,3.187789,2836.941685,0.437423,3455.364918,1.9209,8.455931,10144.036347,6323.298842,0.776257,0.122755,17327.663709,0.463628,2.149147,0.063047,0.459035,0.08523,0.20491,0.049058,0.009489,0.020952,0.020765,0.034642,0.084188,0.014626,-0.003277,1153.965812,0.505128,775.67513,52.36221,1.0,63.028406,0.447771,-0.017095,0.160843,no actors
AYiWOamJVbk,0.914569,4.21445,3743.572261,3.988788,127.050721,0.080139,4.055564,3841.642097,0.628799,3274.827313,1.080725,5.046423,9975.535231,7452.786959,0.806778,0.096156,40136.916875,0.714243,0.934087,0.05377,0.468679,0.039601,0.248006,0.112798,0.090127,0.050837,-0.010865,-0.038871,-0.051332,-0.053692,-0.111135,2243.379416,0.548387,849.716438,59.888409,1.0,67.37901,0.471062,-0.017201,0.161642,no actors
A_GQGfxzc6k,0.957127,5.154426,2711.487121,4.985979,139.526573,0.079103,2.97604,3524.513298,0.560049,3447.741704,1.814274,10.769169,10636.653507,7067.067467,0.810265,0.119834,42415.716862,0.688025,1.755891,-0.228417,0.354213,-0.162424,0.176938,-0.045598,-0.012929,-0.050564,-0.038995,-0.020344,0.017945,0.041818,-0.00304,2004.700461,0.471582,917.850218,64.339438,1.0,69.197305,0.535896,-0.004146,0.155788,mixed
