stimulus_id,dynamics_rms_Mean,fluctuation_peak_PeakPosMean,fluctuation_peak_PeakMagMean,fluctuation_centroid_Mean,rhythm_tempo_Mean,rhythm_attack_time_Mean,spectral_brightness_Mean,spectral_spread_Mean,spectral_rolloff95_Mean,spectral_spectentropy_Mean,spectral_roughness_Mean,spectral_irregularity_Mean,spectral_mfcc_Mean_1,spectral_mfcc_Mean_2,spectral_mfcc_Mean_3,spectral_mfcc_Mean_4,spectral_mfcc_Mean_5,spectral_mfcc_Mean_6,spectral_mfcc_Mean_8,spectral_mfcc_Mean_9,spectral_mfcc_Mean_10,spectral_mfcc_Mean_11,spectral_mfcc_Mean_12,spectral_mfcc_Mean_13,timbre_zerocross_Mean,timbre_lowenergy_Mean,timbre_spectralflux_Mean,tonal_chromagram_peak_PeakPosMean,tonal_chromagram_centroid_Mean,tonal_keyclarity_Mean,tonal_mode_Mean,tonal_hcdf_Mean,target
-BaTPbE0Gdo,0.909838,3.718251,2014.026353,4.039156,132.760827,0.080213,0.47685,3418.959518,10406.923112,0.770376,17295.210748,0.838224,2.115753,-0.031754,0.406925,0.124125,0.129041,0.050491,0.142592,0.03891,-0.003063,0.079393,-0.038167,-0.081763,1457.503234,0.547219,800.469755,61.082086,66.676042,0.528016,-0.022833,0.142065,girls
-KKsNKY4V8k,0.901218,4.93965,2745.439765,4.209581,129.743741,0.072482,0.638021,4252.853317,13081.392289,0.849801,47485.396136,0.599078,1.358435,0.327928,0.349553,-0.113292,0.129123,0.022874,0.079768,0.017453,-0.035517,-0.047496,-0.035666,-0.083736,3025.553663,0.496593,819.363438,60.558755,67.392444,0.573589,-0.018371,0.147259,girls
-NEHGAMiA2I,0.94418,3.941158,1909.809917,4.141802,133.953191,0.073168,0.420684,3485.364787,10325.865975,0.74779,19486.944504,0.769338,2.311429,0.227889,0.913889,-0.066453,0.314468,0.27198,0.153728,0.033439,0.00014,0.081611,0.008533,0.057064,1300.155239,0.477361,840.137178,55.67594,62.832144,0.505014,-0.010642,0.150269,girls
-SEKfzdaIK0,0.940624,1.573963,1861.287911,3.96861,111.410424,0.071111,0.557134,2801.004215,8171.2382,0.793947,43779.843502,0.483042,1.176464,0.281577,0.716397,0.000849,0.267452,0.169697,0.047657,0.118939,0.11688,0.052622,-0.021921,0.008083,1667.65544,0.510363,813.293783,50.639463,62.597876,0.523762,0.010502,0.153793,boys
AB8ud4ogIvo,0.961906,2.772484,1833.2267,3.983895,137.345742,0.067378,0.627104,3690.787552,11501.179916,0.81079,29141.786206,0.748334,0.881915,-0.295658,0.640188,-0.222428,0.270618,-0.06179,-0.000438,-0.161952,-0.066154,0.018631,0.065262,0.068182,1831.824212,0.427861,846.154478,59.444993,68.484349,0.466772,-0.022196,0.158063,girls
AoEBDS1OdQk,0.862067,3.821201,2208.685133,4.591299,111.891519,0.102821,0.476098,3572.928286,10706.643434,0.787678,11849.585402,0.629784,2.065816,0.12988,0.443171,0.169379,0.101621,0.161197,0.078604,-0.024209,0.027018,0.019133,0.035836,0.065768,1429.814126,0.555143,748.583871,60.242409,65.296073,0.456473,-0.015026,0.162047,boys
AsBTxUxT8-I,0.93748,3.745422,1724.250883,4.082006,111.947177,0.077452,0.524337,3287.737663,10023.635777,0.798132,34262.370549,0.712975,1.574341,0.190507,0.399912,0.047564,0.013138,0.00895,0.004119,0.11862,0.065956,0.079644,0.061247,0.048174,1592.023047,0.49936,951.294322,58.868878,65.675875,0.456064,-0.012354,0.138773,boys
BMSh7nl1pK8,0.964366,1.50438,1892.219408,3.828448,129.061797,0.07125,0.518662,3722.884485,11570.868503,0.821786,31810.817578,0.55478,1.907934,-0.219935,0.387901,0.086452,0.323395,-0.213691,0.015811,0.012678,-0.0097,-0.026054,0.089522,0.238082,1518.576105,0.522095,784.049419,54.986877,65.824975,0.582733,-0.005728,0.126604,girls
BS9a4CFppMo,0.88807,3.340879,1898.916067,5.038491,120.928492,0.096901,0.477859,3306.969158,10169.897702,0.75744,53162.789499,0.804321,2.346002,-0.06608,0.901787,0.327491,0.223519,0.099314,0.161555,0.067018,0.028699,-0.033154,-0.068144,-0.026022,1942.922824,0.479475,915.889608,57.760756,63.798877,0.476017,0.027879,0.14841,girls
BohuEtYqfOA,0.983369,3.865824,1051.745146,4.074101,134.599158,0.072092,0.569631,2972.612662,9147.415721,0.82238,63500.820804,0.474606,1.60487,-0.511677,0.418857,-0.183398,-0.047519,-0.188225,0.047157,0.148315,-0.037092,-0.040136,-0.025029,0.101313,1727.996633,0.490741,805.938895,56.47304,68.93617,0.559563,-0.007821,0.141501,boys
