stimulus_id,dynamics_rms_Mean,fluctuation_peak_PeakPosMean,fluctuation_peak_PeakMagMean,fluctuation_centroid_Mean,rhythm_tempo_Mean,rhythm_attack_time_Mean,rhythm_attack_slope_Mean,spectral_centroid_Mean,spectral_brightness_Mean,spectral_spread_Mean,spectral_kurtosis_Mean,spectral_rolloff95_Mean,spectral_rolloff85_Mean,spectral_spectentropy_Mean,spectral_flatness_Mean,spectral_roughness_Mean,spectral_irregularity_Mean,spectral_mfcc_Mean_1,spectral_mfcc_Mean_2,spectral_mfcc_Mean_3,spectral_mfcc_Mean_4,spectral_mfcc_Mean_5,spectral_mfcc_Mean_6,spectral_mfcc_Mean_7,spectral_mfcc_Mean_8,spectral_mfcc_Mean_9,spectral_mfcc_Mean_10,spectral_mfcc_Mean_11,spectral_mfcc_Mean_12,spectral_mfcc_Mean_13,timbre_zerocross_Mean,timbre_lowenergy_Mean,timbre_spectralflux_Mean,tonal_chromagram_peak_PeakPosMean,tonal_chromagram_centroid_Mean,tonal_keyclarity_Mean,tonal_mode_Mean,tonal_hcdf_Mean,target
-Mqc2csT3ZM,0.876307,5.601453,1899.855966,4.18796,137.249522,0.09811,2.855244,4335.394428,0.587888,3956.106546,4.334926,12139.321199,8884.884218,0.799467,0.138393,13826.861416,0.763524,1.678965,-0.082111,0.584434,-0.011965,0.45015,0.079712,0.276403,0.022839,-0.001279,0.023485,-0.102238,-0.06449,-0.087654,2454.623016,0.522817,886.280864,62.476795,68.114295,0.45409,-0.01652,0.16861,mixed
-SEKfzdaIK0,0.940624,1.573963,1861.287911,3.96861,111.410424,0.071111,5.696709,2920.217542,0.557134,2801.004215,6.361059,8171.2382,6024.169922,0.793947,0.068644,43779.843502,0.483042,1.176464,0.281577,0.716397,0.000849,0.267452,0.169697,0.161385,0.047657,0.118939,0.11688,0.052622,-0.021921,0.008083,1667.65544,0.510363,813.293783,50.639463,62.597876,0.523762,0.010502,0.153793,boys
-a9Jmy2fs3I,0.92101,5.679826,2540.248455,4.092554,146.666397,0.074605,4.604354,2543.26252,0.405455,3158.043578,9.359405,9559.83758,5068.727999,0.743702,0.093857,30141.782705,0.617544,2.321678,0.065723,0.610107,-0.006155,0.245256,0.07376,0.228629,0.19306,0.014913,0.093321,0.034755,-0.017676,0.043031,1205.315871,0.454545,762.431296,57.237469,65.137403,0.600659,0.023122,0.144059,mixed
-o98tc5dDUI,0.923111,4.052299,2121.014102,4.998523,142.773498,0.083835,4.514347,3322.055816,0.503348,3574.950956,6.726904,10955.830471,6807.413939,0.789578,0.135052,22715.270788,0.816809,2.006989,0.106839,0.509113,-0.006773,0.178719,0.224501,0.064748,-0.037143,-0.04156,0.010384,0.022867,0.120668,-0.039872,1664.920635,0.452381,934.747578,61.080828,65.931542,0.446349,-0.019707,0.164019,mixed
-vSutSWNgLU,0.962739,4.134404,2436.201007,4.334284,128.207431,0.070909,5.606792,3199.00338,0.519526,3313.665581,6.664359,10046.952536,6498.789234,0.797146,0.123563,33584.114693,0.81523,1.729152,-0.090208,0.470457,0.178855,-0.049707,0.188484,0.014617,-0.019646,0.033984,0.164694,0.103955,0.085791,0.069937,1651.494253,0.433498,980.41484,61.209257,66.428383,0.415472,-0.009861,0.163185,mixed
AJKBKR6MPO0,0.919346,3.798931,1977.993749,4.093938,111.229475,0.071569,5.161719,3938.78868,0.518731,3920.094118,5.506787,11718.792419,8353.47662,0.783099,0.14995,22275.06151,0.753917,1.830102,0.415877,0.609978,0.184257,0.143669,0.187399,0.122312,0.194199,0.052413,0.073542,0.143814,0.115872,-0.071651,1878.499353,0.523933,870.276283,59.989186,64.485493,0.466915,-0.018851,0.155639,mixed
A_GQGfxzc6k,0.957127,5.154426,2711.487121,4.985979,139.526573,0.079103,2.97604,3524.513298,0.560049,3447.741704,10.769169,10636.653507,7067.067467,0.810265,0.119834,42415.716862,0.688025,1.755891,-0.228417,0.354213,-0.162424,0.176938,-0.045598,-0.012929,-0.050564,-0.038995,-0.020344,0.017945,0.041818,-0.00304,2004.700461,0.471582,917.850218,64.339438,69.197305,0.535896,-0.004146,0.155788,mixed
AoEBDS1OdQk,0.862067,3.821201,2208.685133,4.591299,111.891519,0.102821,2.363446,3163.35934,0.476098,3572.928286,6.22821,10706.643434,6693.382493,0.787678,0.135324,11849.585402,0.629784,2.065816,0.12988,0.443171,0.169379,0.101621,0.161197,0.08564,0.078604,-0.024209,0.027018,0.019133,0.035836,0.065768,1429.814126,0.555143,748.583871,60.242409,65.296073,0.456473,-0.015026,0.162047,boys
AsBTxUxT8-I,0.93748,3.745422,1724.250883,4.082006,111.947177,0.077452,4.341539,3144.031886,0.524337,3287.737663,7.522603,10023.635777,6225.344602,0.798132,0.128688,34262.370549,0.712975,1.574341,0.190507,0.399912,0.047564,0.013138,0.00895,0.179709,0.004119,0.11862,0.065956,0.079644,0.061247,0.048174,1592.023047,0.49936,951.294322,58.868878,65.675875,0.456064,-0.012354,0.138773,boys
BohuEtYqfOA,0.983369,3.865824,1051.745146,4.074101,134.599158,0.072092,4.181663,2845.589979,0.569631,2972.612662,7.689913,9147.415721,5528.335914,0.82238,0.106657,63500.820804,0.474606,1.60487,-0.511677,0.418857,-0.183398,-0.047519,-0.188225,0.060435,0.047157,0.148315,-0.037092,-0.040136,-0.025029,0.101313,1727.996633,0.490741,805.938895,56.47304,68.93617,0.559563,-0.007821,0.141501,boys
