stimulus_id,dynamics_rms_PeriodAmp,fluctuation_peak_PeakMagMean,rhythm_tempo_Mean,rhythm_tempo_PeriodEntropy,rhythm_attack_time_Std,spectral_centroid_Mean,spectral_brightness_PeriodFreq,spectral_brightness_PeriodAmp,spectral_spread_PeriodAmp,spectral_rolloff85_Mean,spectral_rolloff85_Std,spectral_roughness_Slope,spectral_irregularity_Std,spectral_irregularity_PeriodAmp,spectral_mfcc_Mean_10,spectral_mfcc_Mean_12,spectral_mfcc_Mean_13,spectral_mfcc_Std_11,spectral_mfcc_Std_12,spectral_mfcc_Std_13,spectral_mfcc_Slope_4,spectral_mfcc_PeriodAmp_3,spectral_mfcc_PeriodEntropy_4,spectral_dmfcc_Mean_4,spectral_dmfcc_Std_1,spectral_dmfcc_Std_13,spectral_dmfcc_Slope_8,spectral_dmfcc_PeriodFreq_4,spectral_dmfcc_PeriodFreq_6,spectral_dmfcc_PeriodAmp_1,spectral_dmfcc_PeriodAmp_5,spectral_dmfcc_PeriodAmp_8,spectral_dmfcc_PeriodAmp_10,spectral_ddmfcc_Mean_3,spectral_ddmfcc_Slope_2,spectral_ddmfcc_Slope_9,spectral_ddmfcc_PeriodFreq_9,spectral_ddmfcc_PeriodAmp_1,spectral_ddmfcc_PeriodAmp_10,spectral_ddmfcc_PeriodEntropy_12,spectral_ddmfcc_PeriodEntropy_13,timbre_zerocross_Std,timbre_spectralflux_Mean,tonal_chromagram_peak_PeakMagPeriodEntropy,tonal_keyclarity_Mean,tonal_keyclarity_Std,tonal_keyclarity_Slope,tonal_mode_Slope,tonal_mode_PeriodEntropy,tonal_hcdf_PeriodAmp,target
-BaTPbE0Gdo,0.865955,2014.026353,132.760827,0.960936,0.044961,3031.754906,3.078319,0.893607,0.963539,6215.571882,2735.918466,-0.401751,0.475691,0.790471,-0.003063,-0.038167,-0.081763,0.317759,0.374205,0.374954,0.89822,0.471774,0.927797,0.000239,0.242681,0.099452,-0.041789,2.667877,0.312642,0.14292,0.13547,0.1489,0.157419,-6.2e-05,-0.001946,-0.008288,0.100296,0.151904,0.198637,0.913219,0.919241,1203.23349,800.469755,0.974516,0.528016,0.179111,-0.066298,-0.34701,0.921739,0.747596,girls
-KKsNKY4V8k,0.922783,2745.439765,129.743741,0.95945,0.048154,4681.256836,1.667423,0.96256,0.979148,9795.909942,2039.61912,-0.28035,0.375177,0.793908,-0.035517,-0.035666,-0.083736,0.292055,0.292435,0.279332,0.201391,0.526828,0.923475,-4.1e-05,0.17049,0.078845,-0.029094,0.214001,0.833711,0.132064,0.142164,0.122738,0.149134,4e-06,-0.003648,-0.004383,0.256527,0.207918,0.156552,0.915058,0.919637,2007.538646,819.363438,0.975884,0.573589,0.154306,0.68539,0.271102,0.936643,0.782569,girls
-NEHGAMiA2I,0.903642,1909.809917,133.953191,0.953043,0.030098,2946.101667,1.600726,0.837776,0.94248,6097.003053,3095.389311,-0.012452,0.426547,0.802325,0.00014,0.008533,0.057064,0.348526,0.355672,0.379885,-0.200244,0.720733,0.914114,0.000188,0.331572,0.131443,-0.008177,0.689968,0.43976,0.163754,0.132491,0.142935,0.124813,0.000426,-0.006463,0.001936,0.500227,0.178366,0.134918,0.92159,0.917071,1405.738692,840.137178,0.974522,0.505014,0.15544,-0.05548,0.146822,0.939672,0.771705,girls
-SEKfzdaIK0,0.953139,1861.287911,111.410424,0.954079,0.075074,2920.217542,2.501134,0.929354,,6024.169922,1400.009435,-0.135011,0.293391,0.792794,0.11688,-0.021921,0.008083,0.240708,0.257038,0.233945,0.320299,0.719229,0.929328,0.00058,0.148254,0.074313,-0.010479,0.312642,0.43498,0.138496,0.259787,0.173539,0.118495,8.9e-05,-0.000537,0.000126,5.716878,0.169561,0.180052,0.920499,0.923211,926.639226,813.293783,0.974514,0.523762,0.155277,0.490636,0.251432,0.942429,0.802355,boys
AB8ud4ogIvo,0.946016,1833.2267,137.345742,0.957976,0.035253,3726.463402,0.755059,0.928039,0.965889,7548.438764,2416.007924,-0.179502,0.332307,0.872173,-0.066154,0.065262,0.068182,0.3628,0.359238,0.379434,0.413673,0.678917,0.952414,4.4e-05,0.189685,0.125923,-0.002306,2.22323,0.097844,0.148329,0.13091,0.125826,0.178058,3.4e-05,0.004271,-0.000764,2.22323,0.138026,0.206366,0.925521,0.919794,976.681139,846.154478,0.975932,0.466772,0.157128,-0.917977,-0.247621,0.941757,0.755478,girls
AoEBDS1OdQk,0.801381,2208.685133,111.891519,0.964091,0.071639,3163.35934,4.446461,0.898178,0.740493,6693.382493,2421.885197,0.242105,0.414659,0.707171,0.027018,0.035836,0.065768,0.243073,0.232723,0.232028,-0.346746,0.48454,0.933373,0.000217,0.241091,0.076982,-0.064301,0.909503,0.351036,0.113026,0.185621,0.13034,0.13183,0.000156,-0.036942,-0.027361,0.625284,0.152704,0.126053,0.924362,0.926755,1338.842447,748.583871,0.97469,0.456473,0.144517,0.153038,-0.189686,0.928172,0.76937,boys
AsBTxUxT8-I,0.895904,1724.250883,111.947177,0.956067,0.042062,3144.031886,2.858439,0.902437,0.953953,6225.344602,2336.43152,-0.125715,0.411158,0.775331,0.065956,0.061247,0.048174,0.250915,0.253567,0.24393,0.367907,0.409411,0.933107,0.000848,0.334132,0.084519,0.050264,3.334846,0.506559,0.188985,0.181877,0.129123,0.159022,-0.000447,-0.040914,0.012146,0.317604,0.205755,0.169641,0.92102,0.92245,1221.523746,951.294322,0.974555,0.456064,0.157545,0.302366,-0.105266,0.935923,0.773517,boys
BMSh7nl1pK8,0.938833,1892.219408,129.061797,0.930844,0.056263,3275.606786,0.357305,0.804933,,7397.917689,1617.768361,0.229498,0.297907,0.79064,-0.0097,0.089522,0.238082,0.173529,0.167446,0.167722,0.057807,0.705639,0.947119,0.000346,0.111923,0.051311,-0.004256,1.600726,0.400181,0.211355,0.142731,0.184634,0.201851,6.7e-05,-0.004594,0.008497,0.370538,0.22066,0.248254,0.90951,0.918336,957.861571,784.049419,0.973691,0.582733,0.14445,0.017574,0.547795,0.923786,0.79129,girls
BS9a4CFppMo,0.756335,1898.916067,120.928492,0.958804,0.086149,3336.865718,3.078319,0.827103,0.930757,6129.140697,3647.145153,-0.046325,0.467872,0.76569,0.028699,-0.068144,-0.026022,0.304098,0.309025,0.34362,-0.029555,0.695618,0.963304,0.000833,0.375721,0.123428,-0.018679,0.43498,0.315104,0.143681,0.143882,0.141003,0.128781,-0.000235,-0.001804,0.019149,1.73992,0.130163,0.155336,0.915638,0.916818,2406.920873,915.889608,0.973714,0.476017,0.172198,0.399626,0.471375,0.931673,0.792047,girls
BohuEtYqfOA,0.98101,1051.745146,134.599158,0.962164,0.039564,2845.589979,2.501134,0.972341,0.974135,5528.335914,1287.451927,0.436304,0.23872,0.859831,-0.037092,-0.025029,0.101313,0.174769,0.1892,0.169921,0.963115,0.751742,0.963738,-0.000235,0.140137,0.051347,0.022408,0.088146,2.106218,0.259724,0.120388,0.100066,0.108151,6e-06,0.030207,0.014837,0.125843,0.293972,0.197491,0.931319,0.937647,593.213112,805.938895,0.975919,0.559563,0.156014,-0.399738,0.082902,0.931813,0.830735,boys
